Name,Sex,House,Race,Blood status,Birthdate,Deathdate.or.Censor,Days,Age,Loyalty,Status
James Potter,Male,Gryffindor,Human,Pure-blood,3/27/1960,10/31/1981,"7,888.00",21.60,Dumbledore,2
Justin Finch-Fletchley,Male,Hufflepuff,Human,Muggle-born,5/3/1979,6/30/1998,"6,998.00",19.16,Dumbledore,1
Katie Bell,Female,Gryffindor,Human,Unknown,8/14/1979,6/30/1998,"6,895.00",18.88,Dumbledore,1
Kingsley Shacklebolt,Male,NA,Human,Pure-blood,4/6/1970,6/30/1998,"10,312.00",28.23,Dumbledore,1
Lavender Brown,Female,Gryffindor,Human,Unknown,4/3/1978,5/2/1998,"7,334.00",20.08,Dumbledore,2
Lee Jordan ,Male,Gryffindor,Human,Unknown,6/13/1977,6/30/1992,"5,496.00",15.05,Dumbledore,1
Lily J. Potter,Female,Gryffindor,Human,Muggle-born,1/30/1960,10/31/1981,"7,945.00",21.75,Dumbledore,2
Lucius Malfoy,Male,Slytherin,Human,Pure-blood,4/5/1950,6/30/1998,"17,618.00",48.24,Voldemort,1
Luna Lovegood,Female,Ravenclaw,Human,Unknown,2/13/1971,6/30/1998,"9,999.00",27.38,Dumbledore,1
Marcus Belby,Male,Ravenclaw,Human,Unknown,8/4/1979,6/30/1998,"6,905.00",18.90,Dumbledore,1
Marcus Flint,Male,Slytherin,Human,Unknown,9/12/1962,6/30/1998,"13,075.00",35.80,Voldemort,1
Marge Dursley,Female,NA,Human ,Muggle,7/4/1954,6/30/1998,"16,067.00",43.99,Unknown,1
Marietta Edgecombe,Female,Ravenclaw,Human,Unknown,3/16/1969,6/30/1998,"10,698.00",29.29,Dumbledore,1
Marlene McKinnon,Female,NA,Human,Unknown,2/25/1959,7/15/1981,"8,176.00",22.38,Dumbledore,2
Michael Corner,Male,Ravenclaw,Human,Half-blood,9/22/1981,6/30/1998,"6,125.00",16.77,Dumbledore,1
Millicent Bulstrode,Female,Slytherin,Human,Half-blood,8/14/1979,6/30/1998,"6,895.00",18.88,Voldemort,1
Minerva McGonagall,Female,Gryffindor,Human,Half-blood,10/4/1935,6/30/1993,"21,089.00",57.74,Dumbledore,1
Molly Weasley,Female,Gryffindor,Human,Pure-blood,10/30/1949,6/30/1998,"17,775.00",48.67,Dumbledore,1
Mundungus Fletcher,Male,NA,Human,Half-blood[,4/14/1961,6/30/1998,"13,591.00",37.21,Dumbledore,1
Myrtle Elizabeth Warren (Moaning Myrtle),Female,Ravenclaw,Ghost,Muggle-born,6/14/1928,6/13/1963,"12,782.00",35.00,Unknown,2
Narcissa Malfoy,Female,Slytherin,Human,Pure-blood,5/8/1900,6/30/1998,"35,847.00",98.14,Voldemort,1
Neville Longbottom,Male,Gryffindor,Human,Pure-blood,7/30/1980,6/30/1994,"5,083.00",13.92,Dumbledore,1
Newton Scamander,Male,Hufflepuff,Human,Unknown,2/24/1897,6/30/1993,"35,189.00",96.34,Dumbledore,1
Nicholas de Mimsy-Porpington,Male,Gryffindor,Ghost,Unknown,8/11/0401,10/31/1942,"562,919.00","1,541.19",Unknown,2
Nymphadora Tonks,Female,Hufflepuff,Human,Half-blood,3/3/1979,5/2/1998,"7,000.00",19.16,Dumbledore,2
Oliver Wood,Male,Gryffindor,Human,Unknown,4/29/1980,6/30/1998,"6,636.00",18.17,Dumbledore,1
Padma Patil,Female,Ravenclaw,Human,Unknown,5/5/1969,6/30/1998,"10,648.00",29.15,Dumbledore,1
Pansy Parkinson,Female,Slytherin,Human,Unknown,7/3/1980,6/30/1998,"6,571.00",17.99,Voldemort,1
Parvati Patil,Female,Gryffindor,Human,Unknown,10/15/1979,6/30/1998,"6,833.00",18.71,Dumbledore,1
Penelope Clearwater,Female,Ravenclaw,Human,Unknown,9/9/1962,6/30/1998,"13,078.00",35.81,Dumbledore,1
Percy Ignatius Weasley,Male,Gryffindor,Human,Pure-blood,8/22/1976,6/30/1998,"7,982.00",21.85,Dumbledore,1
Peter Pettigrew,Male,Gryffindor,Human,Unknown,5/3/1960,3/28/1991,"11,286.00",30.90,Voldemort,2
Petunia Dursley,Female,NA,Human ,Muggle,7/5/1958,6/30/1998,"14,605.00",39.99,Unknown,1
Poppy Pomfrey,Female,NA,Human ,Pure-blood or half-blood,3/27/1952,6/30/1998,"16,896.00",46.26,Dumbledore,1
Quirinus Quirrell,Male,Ravenclaw,Human,Half-blood,9/26/1956,6/4/1998,"15,226.00",41.69,Voldemort,2
Regulus Arcturus Black,Male,Slytherin,Human,Pure-blood,5/14/1905,6/1/1905,18.00,0.05,Voldemort,2
Remus John Lupin,Male,Gryffindor,Werewolf,Half-blood,3/10/1960,5/2/1998,"13,932.00",38.14,Dumbledore,2
Roger Davies,Male,Ravenclaw,Human,Unknown,1/23/1962,6/30/1998,"13,307.00",36.43,Dumbledore,1
Rolanda Hooch,Female,NA,Human ,Unknown,3/14/1917,6/30/1992,"27,502.00",75.30,Unknown,1
Romilda Vane,Female,Gryffindor,Human,Unknown,9/15/1982,6/30/1991,"3,210.00",8.79,Dumbledore,1
Ronald Bilius Weasley,Male,Gryffindor,Human,Pure-blood,3/1/1980,6/30/1998,"6,695.00",18.33,Dumbledore,1
Rowena Ravenclaw,Female,Ravenclaw,Human,Unknown,7/23/0975,4/22/1075,"36,432.00",99.75,Dumbledore,2
Rubeus Hagrid,Male,Gryffindor,Half-Human,Pure-blood,12/6/1928,6/30/1998,"25,408.00",69.56,Dumbledore,1
Rufus Scrimgeour,Male,NA,Human,Unknown,10/2/1966,8/1/1997,"11,261.00",30.83,Dumbledore,2
Salazar Slytherin,Male,Slytherin,Human,Pure-blood,8/3/0975,2/27/1060,"30,888.00",84.57,Voldemort,2
Seamus Finnigan,Male,Gryffindor,Human,Half-blood,11/26/1979,6/30/1998,"6,791.00",18.59,Dumbledore,1
Septima Vector,Female,NA,Human ,Unknown,7/2/1973,6/30/1998,"9,129.00",24.99,Unknown,1
Severus Snape,Male,Slytherin,Human,Half-blood,1/9/1945,5/21/1998,"19,490.00",53.36,Dumbledore,2
Sirius Black,Male,Gryffindor,Human,Pure-blood,11/3/1959,6/18/1996,"13,377.00",36.62,Dumbledore,2
Sturgis Podmore,Male,NA,Human,Unknown,9/7/1957,6/30/1998,"14,906.00",40.81,Dumbledore,1
Susan Bones,Female,Hufflepuff,Human,Half-blood,9/1/1979,6/30/1998,"6,877.00",18.83,Dumbledore,1
Sybill Patricia Trelawney,Female,Ravenclaw,Human,Half-blood,3/9/1945,6/30/1998,"19,471.00",53.31,Dumbledore,1
Terry Boot,Male,Ravenclaw,Human,Unknown,10/13/1970,6/30/1998,"10,122.00",27.71,Dumbledore,1
Theodore Nott,Male,Slytherin,Human,Pure-blood,9/1/1960,6/30/1998,"13,816.00",37.83,Voldemort,1
Tom Marvolo Riddle,Male,Slytherin,Human,Half-blood,12/31/1926,5/2/1998,"26,055.00",71.33,Voldemort,2
Vernon Dursley,Male,NA,Human ,Muggle,12/24/1953,6/30/1998,"16,259.00",44.51,Unknown,1
Viktor Krum,Male,Durmstrang Institute,Human ,Pure-blood or half-blood,4/16/1976,6/30/1998,"8,110.00",22.20,Unknown,1
Vincent Crabbe,Male,Slytherin,Human,Pure-blood,3/3/1970,5/2/1998,"10,287.00",28.16,Voldemort,2
Walden Macnair,Male,Slytherin,Human,Unknown,2/24/1955,6/30/1998,"15,832.00",43.35,Voldemort,1
Zacharias Smith,Male,Hufflepuff,Human,Unknown,5/2/1981,6/30/1992,"4,077.00",11.16,Dumbledore,1
